name,subclade,BEAST-set
ACZ16754,V-clade,N
ACZ16924,V-clade,N
ACZ17144,V-clade,N
ACZ17154,V-clade,N
ACZ27824,V-clade,N
ACZ95861,V-clade,N
ACZ95991,V-clade,N
ACZ96041,V-clade,N
ACZ96073,V-clade,N
ACZ96183,V-clade,N
ACZ96223,V-clade,Y
ACZ96243,V-clade,N
ACZ96386,V-clade,N
ACZ96490,V-clade,N
ACZ96873,V-clade,N
ACZ98302,V-clade,N
ADA79608,V-clade,N
ADB81430,V-clade,N
ADB89133,V-clade,Y
ADB89465,V-clade,N
ADB89535,V-clade,N
ADB89655,V-clade,N
ADB89695,V-clade,Y
ADD21458,clade-split,Y
ADD21738,V-clade,N
ADD21858,V-clade,N
ADD22679,V-clade,N
ADD22756,V-clade,N
ADD22975,V-clade,N
ADD23096,V-clade,N
ADD23206,V-clade,N
ADD23274,V-clade,N
ADD23389,V-clade,N
ADD23399,V-clade,N
ADD23479,V-clade,N
ADD74402,V-clade,N
ADD74412,V-clade,N
ADD74472,V-clade,N
ADD74492,V-clade,N
ADD74752,V-clade,N
ADD74762,V-clade,N
ADD74832,V-clade,N
ADD74862,V-clade,N
ADD74912,V-clade,N
ADD74982,V-clade,N
ADD74992,V-clade,N
ADD96830,V-clade,N
ADD97070,V-clade,N
ADD97185,V-clade,Y
ADD97345,V-clade,N
ADD97365,V-clade,N
ADD97912,V-clade,N
ADD97932,V-clade,N
ADD97982,V-clade,N
ADD97992,V-clade,N
ADD98032,V-clade,N
ADD98102,V-clade,N
ADD98192,V-clade,N
ADE20912,V-clade,N
ADE20952,V-clade,N
ADE21012,V-clade,N
ADE28784,V-clade,N
ADE28935,V-clade,N
ADD21403,V-clade,N
ADF10118,V-clade,N
ADF10128,V-clade,N
ADF10725,V-clade,N
ADF27413,V-clade,N
ADF27493,V-clade,N
ADF27503,V-clade,N
ADF27513,V-clade,Y
ADF27603,V-clade,N
ADF27633,V-clade,N
ADF27663,V-clade,N
ADF27693,V-clade,N
ADF27789,V-clade,N
ADF27829,V-clade,N
ADF83787,V-clade,N
ADF83899,V-clade,N
ADF84493,V-clade,N
ADF87186,V-clade,N
ADF87296,V-clade,N
ADF87365,V-clade,N
ADG01949,V-clade,N
ADG08232,F-clade,N
ADG08371,V-clade,N
ADG42117,V-clade,N
ADG42697,V-clade,N
ADG42767,V-clade,N
ADG58826,V-clade,N
ADG58844,V-clade,N
ADG59616,V-clade,N
ADH01892,V-clade,N
ADH01912,V-clade,N
ADH01922,V-clade,N
ADH29483,V-clade,N
ADI49264,V-clade,N
ADI52820,V-clade,N
ADI99564,V-clade,N
ADI99604,V-clade,N
ADI99704,V-clade,N
ADI99714,V-clade,N
ADI99734,V-clade,N
BAJ10044,V-clade,N
ADJ37721,V-clade,N
ADJ37732,V-clade,Y
ADJ37735,V-clade,N
ADJ37743,V-clade,N
ADJ37768,V-clade,N
ADJ37769,V-clade,N
ADJ37774,V-clade,Y
ADJ40448,V-clade,N
ADJ40518,V-clade,N
ADJ40528,V-clade,N
ADJ40608,V-clade,N
ADJ80678,V-clade,N
ADJ80728,V-clade,N
ADJ80758,V-clade,N
ADJ81037,V-clade,N
ADK21867,V-clade,N
ADK21877,V-clade,N
ADK21907,V-clade,N
ADK25945,V-clade,N
ADK32474,V-clade,Y
ADK32484,V-clade,N
ADK32494,V-clade,N
ADK33755,V-clade,N
ADK33795,V-clade,N
ADK33875,V-clade,N
ADK45371,V-clade,N
ADK62697,V-clade,N
ADL29883,V-clade,N
ADL32458,V-clade,N
ADL32508,V-clade,N
ADL32548,V-clade,N
ADM12935,V-clade,N
ADM13295,V-clade,N
ADM14638,V-clade,N
ADM14738,V-clade,Y
ADM14803,V-clade,N
ADM14849,V-clade,N
ADM14895,V-clade,N
ADM31602,V-clade,N
ADM31652,V-clade,N
ADM31832,V-clade,N
ADM31872,V-clade,N
ADM31962,V-clade,N
ADM31992,V-clade,N
ADM32575,V-clade,N
ADM32655,V-clade,N
ADM52467,V-clade,N
ADM52507,V-clade,N
ADM52668,V-clade,Y
ADN92551,V-clade,N
ADO00734,V-clade,N
ADO12547,V-clade,N
ADO25146,V-clade,N
ADO25196,V-clade,N
ADO25286,V-clade,N
ADO65972,V-clade,N
ADT64321,V-clade,N
ADT64324,V-clade,N
ADT79233,V-clade,N
ADU02119,F-clade,N
ADU02140,V-clade,N
ADU56205,V-clade,N
ADU59926,V-clade,N
ADU85660,F-clade,N
ADU85663,F-clade,N
ADV17294,V-clade,N
ADV17304,V-clade,N
ADV19023,V-clade,N
ADV58869,F-clade,Y
ADV58872,F-clade,N
ADV69069,V-clade,N
ADW54521,V-clade,N
ADX21102,V-clade,N
ADX60674,F-clade,N
ADX96259,V-clade,N
ADX96348,V-clade,N
ADX96458,V-clade,N
ADX96498,V-clade,N
ADX96548,V-clade,N
ADX96618,V-clade,N
ADX96668,V-clade,N
ADX96908,V-clade,N
ADX98810,V-clade,N
ADX98924,V-clade,N
ADX98974,V-clade,N
ADY38735,V-clade,N
ADY69905,clade-split,Y
ADY69938,clade-split,Y
ADY70103,clade-split,Y
ADY70125,clade-split,Y
ADY70202,clade-split,Y
ADY70526,clade-split,Y
ADY70556,clade-split,Y
ADY70597,clade-split,Y
ADY70687,clade-split,Y
ADY70707,clade-split,Y
ADY70867,clade-split,Y
ADY70887,clade-split,Y
ADY70917,clade-split,Y
ADY70947,clade-split,Y
ADY71007,clade-split,Y
ADY71027,clade-split,Y
ADY71047,clade-split,Y
ADY71097,clade-split,Y
ADY71107,clade-split,Y
ADY71127,clade-split,Y
ADY80045,F-clade,N
ADY80136,V-clade,N
ADZ04728,clade-split,Y
ADZ04748,clade-split,Y
ADZ04778,clade-split,Y
ADZ04838,clade-split,Y
ADZ05665,F-clade,N
ADZ05668,F-clade,N
ADZ96079,V-clade,Y
ADZ96200,V-clade,N
AEA72741,V-clade,N
AEA72769,V-clade,Y
AEA73875,V-clade,Y
AEA73945,V-clade,N
AEC53303,V-clade,N
AED99982,V-clade,N
AEH42786,F-clade,N
AEH59625,V-clade,N
AEI30086,V-clade,N
AEI60090,V-clade,N
AEI73670,V-clade,N
AEI86808,V-clade,N
AEI86838,V-clade,Y
AEI86898,V-clade,N
AEI86938,V-clade,N
AEI87028,V-clade,N
AEI87038,V-clade,N
AEI87088,V-clade,N
AEI87574,V-clade,N
BAK41897,F-clade,N
AEJ10444,V-clade,N
AEJ10474,V-clade,N
AEJ10544,V-clade,N
AEJ10554,V-clade,N
AEJ36316,V-clade,N
AEJ37867,V-clade,N
AEJ37897,V-clade,N
AEJ82918,V-clade,N
AEJ82920,V-clade,N
AEJ82924,V-clade,N
AEJ82929,V-clade,N
AEK07928,V-clade,N
AEK70343,F-clade,N
AEK85985,V-clade,N
AEL31703,V-clade,N
AEL31706,V-clade,N
AEL31709,V-clade,N
AEL89311,V-clade,N
AEL89555,V-clade,N
AEL89585,V-clade,N
AEL89665,V-clade,N
AEL89725,V-clade,N
AEL89735,V-clade,N
AEL89775,V-clade,N
AEL93632,V-clade,N
AEL95430,V-clade,N
AEM60095,clade-split,Y
AEM62809,V-clade,N
AEM62818,V-clade,N
AEM62845,V-clade,N
AEM62854,V-clade,N
AEM91953,V-clade,N
AEM92349,V-clade,N
AEM92388,V-clade,N
AEM92429,V-clade,N
AEM92439,V-clade,N
AEM92589,V-clade,N
AEN68505,V-clade,N
AEN68515,V-clade,N
AEN69465,V-clade,N
AEN94832,F-clade,N
AEN94877,F-clade,N
AEN94887,F-clade,N
AEO16273,F-clade,N
AEO19865,V-clade,N
CCD31002,V-clade,N
AEO91600,F-clade,N
AEO91614,F-clade,N
AEO91649,F-clade,Y
AEO91772,F-clade,N
AEO91783,F-clade,Y
AEO91870,F-clade,N
AEO91892,F-clade,N
AEO91903,F-clade,N
AEQ33561,V-clade,N
AEU04973,F-clade,N
AEV21635,V-clade,N
AEW10595,V-clade,N
AEW25323,V-clade,N
AEW25396,V-clade,N
AEW25546,V-clade,N
AEW25565,V-clade,N
AEW25601,V-clade,N
AEW25663,V-clade,N
AEW25670,V-clade,N
AEW31135,F-clade,N
AEX30541,V-clade,N
AEY69092,V-clade,N
AEZ01173,F-clade,N
AEZ02264,F-clade,N
AFC18008,F-clade,N
AFC18522,V-clade,N
AFD98284,V-clade,Y
AFD98324,V-clade,N
AFD98334,V-clade,N
AFE02995,V-clade,N
AFE11298,V-clade,N
AFE11318,V-clade,N
AFE11328,V-clade,N
AFG31084,V-clade,N
AFG31094,V-clade,N
AFG31234,V-clade,N
AFG31264,V-clade,N
AFH41250,F-clade,N
AFH41304,V-clade,N
AFH53737,F-clade,N
AFI73462,F-clade,N
AFI73483,F-clade,N
AFJ05634,V-clade,N
AFJ23009,V-clade,N
AFJ23026,V-clade,N
AFJ23056,V-clade,N
AFJ23082,V-clade,N
AFK14194,V-clade,N
AFK14377,V-clade,N
AFK14386,V-clade,N
AFK14503,V-clade,N
AFK14640,V-clade,N
AFK14773,V-clade,N
AFK73222,F-clade,N
AFK77861,V-clade,N
AFK77891,V-clade,N
AFL56855,V-clade,N
AFL56929,F-clade,N
AFM47223,F-clade,N
AFM84227,F-clade,N
AFM84274,V-clade,N
AFN17768,V-clade,N
AFN17894,V-clade,N
AFN17904,V-clade,N
AFN17930,V-clade,N
AFN18201,V-clade,N
AFN18655,V-clade,N
AFN18736,V-clade,N
AFN18876,V-clade,N
AFN18928,V-clade,N
AFN19296,V-clade,N
AFN19345,V-clade,N
AFN19758,V-clade,N
AFN20062,V-clade,N
AFN20071,V-clade,N
AFN20104,V-clade,N
AFN66938,F-clade,Y
AFN69209,V-clade,N
AFN69255,V-clade,N
AFN69269,V-clade,N
BAM34270,V-clade,N
BAM34290,V-clade,N
BAM34350,V-clade,N
BAM34380,V-clade,N
BAM34410,V-clade,N
AFO82785,V-clade,N
AFO82788,V-clade,N
AFO83031,F-clade,N
AFO83049,V-clade,N
AFO83054,V-clade,N
AFO83317,F-clade,N
AFP34796,V-clade,N
AFP35187,V-clade,N
AFP35432,V-clade,N
AFP35442,V-clade,N
AFP35546,V-clade,N
AFP35622,V-clade,N
AFP35768,V-clade,N
AFP35934,V-clade,N
AFP99315,V-clade,N
AFP99342,V-clade,N
AFQ90309,V-clade,N
AFR61004,F-clade,N
AFR61063,F-clade,N
AFR84875,V-clade,N
AFS50173,V-clade,N
AFS50186,V-clade,N
AFS50199,V-clade,N
AFU09291,V-clade,N
AFU09311,V-clade,N
AFU09511,V-clade,N
AFU09521,V-clade,N
AFU09551,V-clade,N
AFU09786,V-clade,N
BAM62972,V-clade,N
AFV71365,F-clade,N
AFX65230,V-clade,N
AFX68935,F-clade,N
AFX69006,V-clade,N
AFX96522,V-clade,N
AFX96562,V-clade,N
AFX96702,V-clade,N
AFX96918,V-clade,N
AFY24032,V-clade,N
AGA19196,V-clade,N
AGA19286,V-clade,N
AGA19306,V-clade,N
AGB13010,V-clade,N
AGB13070,V-clade,N
AGB13174,V-clade,N
AGB13204,V-clade,N
AGB13224,V-clade,N
AGB13254,V-clade,N
AGB13264,V-clade,N
AGB13434,V-clade,N
AGB13494,V-clade,Y
AGB13534,V-clade,N
AGB98792,F-clade,N
AGB98902,F-clade,N
AGB98935,F-clade,N
AGB99100,F-clade,N
AGB99287,F-clade,N
AGC13504,V-clade,N
AGC96202,F-clade,N
AGC96212,F-clade,N
AGC96263,V-clade,N
AGC96270,F-clade,N
AAL87895,F-clade,N
ABF17981,F-clade,N
AEA29273,V-clade,N
AEA29276,V-clade,N
ACT68187,V-clade,N
ACT68194,V-clade,N
ABG34256,F-clade,N
BAM78377,V-clade,N
AGE83811,F-clade,N
AGE83833,F-clade,Y
AGE83844,F-clade,Y
AGE83855,F-clade,N
AGE83887,clade-split,Y
AGF37680,V-clade,N
AGF37686,V-clade,N
AGF37698,V-clade,N
AGG53664,V-clade,N
AGG86885,V-clade,N
AGI55593,V-clade,N
AGI52460,V-clade,N
AGI52717,V-clade,N
AGI53024,V-clade,N
AGI53032,V-clade,N
AGI53150,V-clade,N
AGI53704,V-clade,N
AGI53964,V-clade,N
AGI54212,V-clade,N
AGI55074,V-clade,N
AGI55249,V-clade,N
AGI55362,V-clade,N
AGJ73157,F-clade,N
AGJ73177,V-clade,N
AGJ73183,F-clade,N
AGJ73204,V-clade,N
AGJ73222,V-clade,N
AGJ73242,F-clade,N
AGJ73269,V-clade,N
AGJ73482,V-clade,N
AGK24378,V-clade,N
AGK62468,F-clade,N
AGK62516,V-clade,N
AGK62564,F-clade,N
AGK62762,V-clade,N
AGK72496,V-clade,N
AGK72503,V-clade,N
AGK73017,V-clade,N
AGK73274,V-clade,N
AGK73452,V-clade,Y
AGL04776,V-clade,N
AGL05128,V-clade,N
AGL51630,F-clade,N
AGN51104,V-clade,N
AGN51127,F-clade,N
AGN51135,F-clade,N
AGN51166,F-clade,N
AGN51206,V-clade,N
AGN51240,V-clade,N
AGN51248,F-clade,N
AGN51271,V-clade,N
AGN51287,V-clade,N
AGN51295,V-clade,N
AGN69268,clade-split,Y
AGQ88534,V-clade,N
AGR50266,V-clade,N
AGR50343,V-clade,N
AGR54585,F-clade,N
AGS41657,F-clade,N
AGS41689,F-clade,N
AGS41815,V-clade,N
AGS41841,V-clade,N
AGS42026,F-clade,N
AGS48847,F-clade,N
AGS48859,F-clade,N
AGT41765,F-clade,N
AGT41773,F-clade,N
AGT41789,F-clade,N
AGU69907,F-clade,N
AGU69915,F-clade,N
AGU92693,V-clade,N
AGV74370,F-clade,N
AGV74454,V-clade,N
AGV74773,V-clade,N
AGV74850,V-clade,N
AGV74883,V-clade,N
AGV74949,V-clade,N
AGV75015,V-clade,N
AGV75268,V-clade,N
AGV75664,V-clade,N
AGV75675,V-clade,N
AGV75697,V-clade,N
AGW83207,V-clade,N
AGX00913,F-clade,N
AGY41983,V-clade,N
AGY41994,V-clade,N
AGY41997,V-clade,N
AGY42401,F-clade,N
AGY42413,F-clade,Y
AHA11538,F-clade,N
AHA38601,V-clade,N
AHA38664,V-clade,N
AHA56774,V-clade,N
AHA56804,V-clade,N
AHA56854,V-clade,N
AHA56864,V-clade,N
AHB20923,F-clade,N
AHB20959,F-clade,N
AHB20995,F-clade,Y
AHB21139,F-clade,N
AHB21151,F-clade,N
AHB21247,F-clade,N
AHB21259,F-clade,N
AHB21321,F-clade,N
AHB21333,F-clade,N
AHB21393,F-clade,Y
AHB21536,F-clade,N
AHB21572,F-clade,N
AHB21584,F-clade,N
AHB21632,F-clade,N
AHB21644,F-clade,N
AHB21656,F-clade,N
AHB21668,F-clade,N
AHB21704,F-clade,N
AHB21740,F-clade,N
AHB21786,F-clade,N
AHB21857,V-clade,N
AHB21905,F-clade,N
AHB22085,F-clade,N
AHB22097,F-clade,N
AHB22157,F-clade,N
AHB22169,F-clade,Y
AHB22181,F-clade,N
AHB22346,F-clade,N
AHB22382,F-clade,N
AHB22465,F-clade,N
AHB22500,F-clade,N
AHB22524,F-clade,N
AHB22679,F-clade,N
AHB22703,F-clade,N
AHB22739,F-clade,N
AHB22847,F-clade,N
AHB22859,F-clade,N
AHB22883,F-clade,N
AHB22907,F-clade,N
AHB22919,F-clade,Y
AHB22931,F-clade,N
AHB22979,F-clade,N
AHB23039,F-clade,N
AHB23063,F-clade,N
AHB23198,F-clade,N
AHB24528,F-clade,N
AHB24568,V-clade,N
AHB24687,F-clade,N
AHB24749,F-clade,N
AHB51104,F-clade,N
AHB51176,F-clade,N
AHB51188,F-clade,N
AHB51200,F-clade,N
AHB51224,F-clade,N
AHB51248,F-clade,N
AHB51296,F-clade,N
AHB51308,F-clade,Y
AHB51332,F-clade,N
AHB51440,F-clade,N
AHB51452,F-clade,N
AHB51903,F-clade,N
AHB52259,F-clade,N
AHC68930,V-clade,N
AHC68974,V-clade,N
AHC69371,F-clade,N
AHF20491,V-clade,N
AHG54747,F-clade,N
AHI97858,V-clade,N
AHI97866,F-clade,N
AHI97945,F-clade,Y
AHJ58102,V-clade,N
AHJ58113,F-clade,Y
AHJ58166,V-clade,N
AHL21294,V-clade,N
AHL80766,V-clade,N
AHL80777,V-clade,N
AHL80799,V-clade,N
AHL80843,V-clade,N
AHL81333,V-clade,N
AHL96478,V-clade,N
AHL98442,V-clade,N
AHM98409,V-clade,N
AHM98453,V-clade,N
AHM98464,V-clade,N
AHM98486,V-clade,N
AHM98607,V-clade,N
AHM98684,V-clade,N
AHM98782,V-clade,N
AHM98924,V-clade,N
AHN96346,V-clade,N
AHN96357,V-clade,N
AHN96425,V-clade,N
AHX38227,F-clade,N
AHX38287,V-clade,N
AHX38357,F-clade,N
AHX38439,F-clade,N
AHX38507,V-clade,N
AHX38647,V-clade,N
AHX38822,F-clade,N
AHX38999,F-clade,N
AHX39082,F-clade,N
AHX39139,V-clade,N
AHY84588,V-clade,N
AHY84610,V-clade,N
AHY84654,V-clade,N
AHY84665,V-clade,N
AHZ35928,V-clade,N
AHZ36028,V-clade,N
AHZ36332,V-clade,N
AHZ96048,F-clade,N
AHZ96080,V-clade,N
AIA61981,F-clade,N
AIA62025,F-clade,Y
AIC64714,V-clade,N
AIC65218,V-clade,N
AIC65228,V-clade,N
AIC65388,V-clade,N
AIC65440,V-clade,N
AIC65495,V-clade,N
AIC65657,V-clade,N
AIC65668,V-clade,N
AIC65678,V-clade,N
AID47894,V-clade,N
AID47905,V-clade,N
AID47916,V-clade,N
AIE48618,V-clade,N
AIE48785,V-clade,N
AIE49051,F-clade,N
AIE49151,V-clade,N
AIE49311,V-clade,N
AIE49333,V-clade,N
AIE49356,V-clade,N
AIE49367,V-clade,N
AIE49558,V-clade,N
AIE49982,V-clade,Y
AIE50004,V-clade,N
AIE50015,V-clade,N
AIE50048,V-clade,N
AIE50336,V-clade,N
AIE50403,V-clade,N
AIE50414,V-clade,N
AIE50459,F-clade,N
AIE50582,V-clade,N
AIE50751,V-clade,N
AIE50928,V-clade,N
AIE51069,F-clade,N
AIE51147,V-clade,N
AIE51288,F-clade,N
AIE51354,V-clade,N
AIE51425,F-clade,N
AIE51786,V-clade,N
AIE51888,V-clade,N
AIE53404,V-clade,Y
AIE53454,V-clade,N
AIE53493,V-clade,N
AIF72784,V-clade,N
AII18883,V-clade,N
AII18938,V-clade,N
AII18982,V-clade,N
AII30791,F-clade,N
AII30837,V-clade,N
AIJ10938,V-clade,N
AIJ10946,F-clade,Y
AIK26324,V-clade,N
AIK26414,F-clade,N
AIL94251,V-clade,N
AIL94622,V-clade,N
AIL94656,V-clade,N
AIL94793,V-clade,N
AIM55841,V-clade,N
AIM55897,V-clade,N
AIM55908,V-clade,N
AIM55952,V-clade,N
AIM55999,V-clade,N
AIM56065,V-clade,N
AIM56109,V-clade,N
AIM56142,V-clade,N
AIM56175,V-clade,N
AIM56241,V-clade,N
AIM56340,V-clade,N
AIM56451,V-clade,N
AIM56517,V-clade,N
AIM56572,V-clade,N
AIM56638,V-clade,Y
AIM56770,V-clade,N
AIP92530,V-clade,N
AIP92574,V-clade,N
AIP92817,V-clade,N
AIP92905,V-clade,N
AIR93983,V-clade,N
AIR93994,V-clade,N
AIT16691,V-clade,N
AIT17070,V-clade,N
AIT92554,V-clade,N
AIT92576,V-clade,N
AIU46589,V-clade,N
AIV09231,V-clade,N
AIW60668,V-clade,N
AIW60736,F-clade,N
AIW60750,V-clade,N
AIX94826,V-clade,N
AIX94834,F-clade,N
AIX94955,V-clade,N
AIZ07362,F-clade,N
BAQ19417,V-clade,N
AJD78164,F-clade,Y
AJI80399,V-clade,N
AJJ99506,V-clade,N
AJJ99517,V-clade,N
AJJ99572,V-clade,N
AJJ99583,V-clade,N
AJJ99845,V-clade,N
AJJ99955,V-clade,N
AJK00057,V-clade,N
AJK00137,V-clade,N
AJM70758,V-clade,N
AJP13682,V-clade,N
AJP15595,V-clade,N
BAQ58074,V-clade,N
BAQ58364,V-clade,N
BAQ58426,V-clade,N
AJW32075,V-clade,N
AJY79451,V-clade,N
AJY79459,F-clade,N
AJY79487,F-clade,Y
AJY79509,F-clade,N
AJY79568,F-clade,N
AJY79612,V-clade,N
AJY79620,V-clade,N
AJY79665,F-clade,N
AJY79716,F-clade,N
AKA60562,V-clade,N
AKA60575,F-clade,N
AKA63547,V-clade,N
AKA63573,F-clade,N
AKA63615,F-clade,N
AKC44633,V-clade,N
AKC44658,V-clade,N
AKC44716,F-clade,N
AKC44804,V-clade,N
AKC44858,F-clade,N
AKC45024,V-clade,N
AKC45040,F-clade,N
AKC45048,F-clade,Y
AKC45055,F-clade,N
AKC45067,V-clade,N
AKC45100,F-clade,N
AKC45139,F-clade,N
AKD00376,V-clade,N
AKD00384,V-clade,N
AKD00391,F-clade,N
AKD00423,F-clade,N
AKD00458,F-clade,N
AKD00508,V-clade,N
AKD00524,F-clade,N
AKD00553,F-clade,N
AKD00613,V-clade,N
AKE37166,F-clade,N
AKE37197,F-clade,N
AKE37261,F-clade,N
AKE37280,F-clade,N
AKE37289,V-clade,N
AKE37297,F-clade,N
AKE37305,F-clade,N
AKE37329,F-clade,N
AKE37523,V-clade,N
AKE37563,V-clade,N
CRI05949,V-clade,N
CRI06051,V-clade,N
CRI06095,V-clade,N
CRI06117,V-clade,N
CRI06410,V-clade,N
CRI06432,V-clade,N
CRI06465,V-clade,N
AKH03175,V-clade,N
AKH14308,V-clade,N
CRK54858,V-clade,N
CRK54913,V-clade,N
CRK76952,V-clade,N
AKJ81002,V-clade,N
AKJ81049,V-clade,N
AKJ81534,V-clade,N
AKJ82052,V-clade,N
AKJ82396,V-clade,N
AKJ82889,V-clade,N
AKJ84203,F-clade,N
AKJ84256,F-clade,N
AKJ84342,F-clade,N
AKJ84382,F-clade,N
AKJ84403,F-clade,N
AKJ84413,F-clade,N
AKM14276,F-clade,N
AKM14283,F-clade,N
AKM14361,F-clade,N
AKM14381,F-clade,N
AKM14529,F-clade,N
AKM14539,F-clade,N
AKM14641,F-clade,N
AKM14679,F-clade,N
AKM15023,V-clade,N
CRN12555,V-clade,N
CRX62513,V-clade,N
CRX62507,V-clade,N
CRX62770,V-clade,N
CRX62371,V-clade,N
AKQ09790,F-clade,N
AKQ10315,V-clade,N
AKQ10502,V-clade,N
AKQ10722,V-clade,N
AKQ10964,V-clade,N
AKQ11415,V-clade,N
AKQ11547,V-clade,N
AKQ11657,V-clade,N
AKQ11767,V-clade,N
AKQ11910,V-clade,N
AKQ12251,V-clade,N
AKQ12284,V-clade,N
AKQ12405,V-clade,N
AKQ12416,V-clade,N
AKQ12449,V-clade,N
AKQ12526,V-clade,N
AKQ12548,V-clade,N
AKQ12570,V-clade,N
AKQ12658,V-clade,N
AKT08440,V-clade,N
AKT08469,V-clade,N
AKV57360,F-clade,N
AKV57402,F-clade,N
AKV57534,F-clade,Y
AKV57585,F-clade,N
AKV57613,F-clade,N
ALB08435,V-clade,N
ALB08466,V-clade,N
ALD19295,V-clade,N
ALD19308,V-clade,N
ALD19423,F-clade,N
ALE66496,V-clade,N
ALE66529,V-clade,N
ALE66683,F-clade,N
ALE66705,F-clade,N
ALE66727,F-clade,N
ALG76826,V-clade,N
ALG76842,F-clade,N
ALG76851,V-clade,N
ALG76866,V-clade,N
ALG76877,F-clade,N
ALG76886,F-clade,N
ALH21599,F-clade,N
ALH26332,V-clade,N
ALH26414,V-clade,N
ALH26546,V-clade,N
ALH26841,V-clade,N
ALH26850,V-clade,N
ALJ53834,F-clade,N
ALJ53937,F-clade,N
ALJ53985,V-clade,N
ALJ54082,V-clade,N
ALJ54671,F-clade,N
ALP01933,V-clade,N
ALP01957,V-clade,N
ALP31185,V-clade,N
ALP31192,V-clade,N
ALP31215,V-clade,N
ALP31223,F-clade,N
ALR83474,F-clade,Y
ALT19801,V-clade,N
ALT31761,V-clade,N
ALT31773,F-clade,N
ALX27685,V-clade,N
ALX27736,V-clade,N
ALX28514,V-clade,N
ALX28517,V-clade,N
ALX28520,V-clade,N
ALX28526,V-clade,N
ALX28977,V-clade,N
ALX30206,V-clade,N
ALX30229,V-clade,N
ALZ42984,F-clade,N
ALZ43020,F-clade,N
ALZ43032,F-clade,Y
ALZ43080,F-clade,N
ALZ43092,F-clade,N
ALZ43104,F-clade,N
ALZ43152,F-clade,Y
ALZ43247,F-clade,N
ALZ43259,F-clade,N
ALZ43350,F-clade,N
ALZ43383,F-clade,N
ALZ43394,F-clade,N
ALZ43417,F-clade,N
ALZ43462,F-clade,N
ALZ43541,V-clade,N
ALZ43585,F-clade,N
ALZ43608,F-clade,N
ALZ43664,F-clade,N
ALZ43788,F-clade,N
ALZ43907,F-clade,N
ALZ43929,F-clade,N
ALZ44000,F-clade,N
ALZ44035,F-clade,N
ALZ44415,F-clade,N
ALZ44427,F-clade,N
ALZ44612,F-clade,N
ALZ44692,F-clade,N
ALZ45033,F-clade,N
ALZ45061,V-clade,N
ALZ45464,F-clade,N
ALZ45520,F-clade,N
ALZ46469,F-clade,N
ALZ46493,F-clade,N
ALZ46563,F-clade,N
ALZ46597,F-clade,N
ALZ46619,F-clade,N
ALZ46630,F-clade,N
ALZ46642,F-clade,Y
ALZ46665,F-clade,Y
AMA11369,V-clade,N
AMA11553,V-clade,N
AMA11575,V-clade,N
AMA11773,V-clade,N
AMA65257,V-clade,N
AMB66938,V-clade,N
AMB66968,V-clade,N
AMR58671,F-clade,N
AMR58682,F-clade,N
AMR58725,F-clade,N
AMU04343,V-clade,N
AMU04347,V-clade,N
AMX74874,F-clade,N
AMY15845,clade-split,Y
AMY16120,V-clade,N
AMY16208,V-clade,N
AMY16292,F-clade,N
ANA11368,V-clade,N
ANE23929,V-clade,N
ANE26701,V-clade,N
ANE26820,V-clade,N
ANE27460,V-clade,N
ANE27746,V-clade,N
ANE28065,V-clade,N
ANE28230,V-clade,N
ANE28439,V-clade,N
ANE28494,V-clade,N
ANE28650,V-clade,N
ANE28808,V-clade,N
ANE28878,V-clade,Y
ANE29009,V-clade,N
ANE29230,V-clade,N
ANE29241,V-clade,N
ANE29454,V-clade,N
ANH71159,V-clade,N
ANJ77923,V-clade,N
ANK57568,F-clade,N
ANK57638,F-clade,N
ANM87260,V-clade,N
ANM87282,V-clade,N
ANM87370,V-clade,N
ANM87447,V-clade,N
ANM87491,V-clade,N
ANM87929,V-clade,N
ANM88116,V-clade,N
ANM88127,V-clade,N
ANM88281,V-clade,N
ANM88380,V-clade,N
ANM88391,V-clade,N
ANM88589,V-clade,N
ANM88974,V-clade,N
ANM89051,V-clade,N
ANM89150,V-clade,N
ANM89216,V-clade,N
ANM89315,V-clade,N
ANM89656,V-clade,N
ANM89788,V-clade,N
ANM90052,V-clade,N
ANM90096,V-clade,N
ANM90250,V-clade,N
ANM90404,V-clade,N
ANM90426,V-clade,N
ANM90459,V-clade,N
ANM90811,V-clade,N
ANM91438,V-clade,N
ANM91548,V-clade,Y
ANM91680,V-clade,N
ANM91834,V-clade,N
ANM92054,V-clade,N
ANM92219,V-clade,N
ANM92373,V-clade,N
ANM92417,V-clade,N
ANM93165,V-clade,N
ANM93726,V-clade,N
ANM93770,V-clade,N
ANM93913,V-clade,N
ANM93968,V-clade,N
ANM94089,V-clade,N
ANM94133,V-clade,N
ANM94166,V-clade,N
ANM94243,V-clade,Y
ANM94287,V-clade,N
ANM94540,V-clade,N
ANM94672,V-clade,N
ANM94716,V-clade,N
ANM94859,V-clade,N
ANM94969,V-clade,N
ANM94980,V-clade,N
ANM95013,V-clade,N
AOC37745,V-clade,N
AOE23017,F-clade,N
AOE23088,F-clade,N
AOG30185,V-clade,N
AOG30257,F-clade,N
AOG30328,F-clade,N
AOG30383,V-clade,Y
AOG30391,V-clade,N
AOG30427,F-clade,N
AOG30442,F-clade,N
AOG30487,V-clade,N
AOG30571,F-clade,N
AOO54001,V-clade,N
AOO54034,V-clade,N
AOO54045,V-clade,N
